      Date,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env
 2021/04/20,477,155,10,0,0,0,1,1,1,1,1,1
 2021/04/20,498,158,23,3,3,3,2,2,5,2,2,5
 2021/04/20,432,140,6,0,0,0,1,1,1,1,1,1
 2021/04/20,414,130,3,0,0,0,1,1,1,1,1,1
 2021/04/20,348,108,3,0,0,0,0,0,0,0,0,0
 2021/04/20,606,202,17,0,0,0,4,4,4,4,4,4
 2021/04/20,609,196,10,0,0,0,2,3,3,2,3,3
 2021/04/20,534,167,0,0,0,0,2,2,2,2,2,2
 2021/04/20,498,166,6,0,0,0,3,3,3,3,3,3
 2021/04/20,417,128,6,0,0,0,2,2,2,2,2,2
 2021/04/20,342,103,3,0,0,0,1,1,1,1,1,1
 2021/04/20,432,132,3,0,0,0,2,2,2,2,2,2
 2021/04/20,432,137,6,0,0,0,1,1,1,1,1,1
 2021/04/20,423,130,13,3,0,0,2,2,3,2,2,3
 2021/04/20,339,105,13,3,0,0,0,0,2,0,0,2
 2021/04/20,345,112,0,0,0,0,0,0,0,0,0,0
 2021/04/20,540,166,3,0,0,0,2,2,2,2,2,2
 2021/04/20,510,156,17,3,0,0,2,2,3,2,2,3
 2021/04/20,579,185,17,3,0,0,2,3,4,2,3,4
 2021/04/20,477,151,19,0,0,0,1,2,2,1,2,2
 2021/04/20,477,155,16,3,0,0,1,3,3,1,3,3
 2021/04/20,453,148,13,3,0,0,1,2,2,1,2,2
 2021/04/20,462,140,10,0,0,0,1,1,1,1,1,1
 2021/04/20,420,125,7,0,0,0,1,1,1,1,1,1
 2021/04/20,522,163,7,0,0,0,2,2,2,2,2,2
 2021/04/20,540,170,10,0,0,0,2,2,2,2,2,2
 2021/04/20,402,124,6,0,0,0,1,1,1,1,1,1
 2021/04/20,399,122,23,0,0,0,1,2,2,1,2,2
 2021/04/20,417,139,23,0,0,0,2,3,3,2,3,3
 2021/04/20,459,143,6,0,0,0,2,2,2,2,2,2
